id,meal_name,common_name,image_url,description,prep_time,servings,calories_kcal,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,difficulty,estimated_cost_php,availability,tags,role_fit,meal_type,dietary_restrictions,ingredients,popularity_score,s
F001,Tuna adobo,Tuna adobo,https://kusinasecrets.com/wp-content/uploads/2025/01/u3317447599_Photorealistic_close-up_of_Filipino_Tuna_Adobo_on_b5bf028a-cee7-479d-8c10-f0475065a64b_1.webp,"Filipino adobo using fresh tuna chunks simmered in soy sauce, vinegar, garlic, and spices for a lighter seafood twist on the classic dish.",20 min,4,140,30,2,8,0,1,620,60,Easy,120–150,year-round,Classic dish,"Students, workers",Lunch/Dinner,Contains fish; gluten-free if using gluten-free soy sauce,"Fresh tuna, soy sauce, vinegar, garlic, onion, bay leaf, peppercorns, cooking oil",5,
F002,Pork & chicken adobo,Pork & chicken adobo,https://assets.unileversolutions.com/recipes-v2/214462.jpg, "Classic Filipino adobo combining pork and chicken for a balanced flavor.",40 min,4,276,22.5,4,18,0.5,2,780,95,Medium,150–180,year-round,Classic dish,Family meals,Lunch/Dinner,Contains pork and chicken; not vegetarian/vegan,"Pork belly, chicken pieces, soy sauce, vinegar, garlic, onion, bay leaf, black peppercorns, cooking oil",5,
F003,Pork adobo,Pork adobo,,"Tender pork stewed in soy sauce, vinegar, garlic, and bay leaves.",45 min,4,412,29,4,29,0.5,2,941,94,Medium,140–170,year-round,Hearty dish,"Family, workers",Lunch/Dinner,Contains pork; not vegetarian/vegan,"Pork belly or shoulder, soy sauce, vinegar, garlic, onion, bay leaf, peppercorns, cooking oil",5,
F004,"Pork adobo, w/ egg","Pork adobo, w/ egg",https://www.hungryhuy.com/wp-content/uploads/pork-belly-adobo-768x512.jpg,Same as pork adobo but with hard-boiled eggs for added richness.,45 min,4,482,35,4,34,0.5,2,941,159,Medium,150–180,year-round,Protein-rich,"Family, athletes",Lunch/Dinner,Contains pork and eggs; not vegetarian/vegan,"Pork belly or shoulder, soy sauce, vinegar, garlic, onion, bay leaf, peppercorns, hard-boiled eggs, cooking oil",5,
F005,Chicken adobo,Chicken adobo,https://tse3.mm.bing.net/th/id/OIP.9b9GAHE4Tr2EbTs-SH6vJgHaKX?cb=12&rs=1&pid=ImgDetMain&o=7&rm=3,"Popular Filipino chicken dish simmered in vinegar, soy sauce, garlic, and spices",35 min,4,141,15.6,3,16,0.5,2,700,95,Medium,120–150,year-round,Lighter option,"Students, seniors",Lunch/Dinner,Contains poultry; not vegetarian/vegan,"Chicken pieces, soy sauce, vinegar, garlic, onion, bay leaf, black peppercorns, cooking oil",5,
F006,Beef kare-kare,Beef kare-kare,,"Filipino stew made of beef / oxtail in peanut-annatto sauce with vegetables, served with bagoong.",20 min,4,354,20,4,24,3,,320,,Medium-Hard,,year-round,"Classic dish, Protein-rich, Peanut-based stew, Special occasion, Filipino favorite",Family,Lunch / Dinner,Contains beef; peanuts; may include shrimp paste (shellfish); not vegetarian/vegan,"Beef oxtail, peanuts, annatto seeds, toasted rice flour, garlic, onion, string beans, eggplant, banana heart, pechay, fish sauce, bagoong",4,
F007,Rice gruel w/ chicken,Arroz caldo,,"Filipino rice porridge flavored with ginger, garlic, and chicken, commonly served hot with toppings.",35 min,4,250,16,4,5,1.5,,720,55,Easy,40–50,year-round,Classic dish; Comfort food; Warm & hearty; Budget-friendly; Filipino favorite,"Students, Family",Breakfast/Lunch,Contains chicken; contains rice; gluten-free if using plain rice broth,"Rice, chicken, ginger, garlic, onion, fish sauce, water or chicken broth, spring onion, hard-boiled egg, calamansi, pepper",5,
F008,"Pork belly, broiled","Baboy liempo, inihaw",,Filipino-style pork belly marinated in a savory-sweet mixture and grilled over charcoal until smoky and crisp.,25 min,4,350,27,4,26,0.5,1,620,85,Medium,90–110,90–110,Classic dish; Grilled favorite; Protein-rich; Party food; Filipino street food,"Family, Students, workers, body builder",Lunch/Dinner,Contains pork; not suitable for low-fat diets or vegetarians/vegans,"Pork belly, soy sauce, calamansi or lemon juice, garlic, pepper, brown sugar, banana ketchup (optional), salt",5,
F009,"Pork belly, fried","Baboy liempo, prito",,"Filipino-style pork belly slices seasoned and deep-fried until golden, crispy, and juicy inside.",25 min,,420,29,4,33,0.3,,640,90,Medium,90–110,year-round,Classic dish; Crispy favorite; Protein-rich; Party food,"Family, Students, workers, body builder",Lunch/Dinner,Contains pork; not suitable for low-fat diets or vegetarians/vegans,"Pork belly, salt, pepper, garlic, cooking oil, vinegar (optional marinade)",5,
F010,"Pork Boston butt, broiled","Baboy paypay, inihaw	",,"Charcoal-grilled pork Boston butt marinated in savory-sweet Filipino spices for a smoky, tender dish.",30 min,,360,31,4,26,0.5,1,600,85,Medium,85–100,year-round,Classic dish; Grilled favorite; Protein-rich; Special occasion,"Family, Students, workers, body builder",Lunch/Dinner,Contains pork; not suitable for low-fat diets or vegetarians/vegans,"Pork Boston butt (shoulder), soy sauce, calamansi or lemon juice, garlic, black pepper, brown sugar, banana ketchup (optional), salt",5,
